in_channels,out_channels,kernel_size,stride,groups,hw
1210,1199,3,1,11,14
44,78,1,1,1,56
72,84,3,1,4,14
161,154,3,2,7,28
253,253,3,1,11,14
1700,1666,3,1,34,14
3791,981,1,1,1,7
34,36,1,1,1,56
2605,2502,1,1,1,14
630,620,3,1,5,56
3920,3885,3,2,35,7
390,351,3,1,39,7
231,59,1,1,1,7
273,273,3,1,13,14
11,13,1,2,1,112
3030,2980,3,2,10,28
55,166,1,1,1,7
35,34,3,2,1,112
1276,1541,1,1,1,14
25,35,1,1,1,7
630,620,3,2,5,56
1866,1841,1,1,1,28
182,175,3,1,7,28
398,914,1,1,1,28
58,80,1,1,1,56
18,47,1,2,1,112
2993,2952,3,1,41,14
45,42,3,1,3,28
2400,2400,3,1,25,7
240,234,3,1,6,28
128,173,1,2,1,56
3444,1108,1,1,1,56
864,828,3,1,36,14
431,360,1,1,1,7
8,15,1,1,1,112
2100,2085,3,2,15,14
3182,3164,1,1,1,28
810,810,3,1,10,28
2408,2189,1,1,1,14
2431,2365,3,2,11,28
410,405,3,1,5,56
32,38,3,2,2,56
600,594,3,2,6,56
29,63,1,1,1,7
2925,2709,1,1,1,14
193,79,1,1,1,14
1332,1296,3,2,36,7
960,954,3,2,6,56
476,476,3,2,14,14
3375,3591,1,1,3,7
71,36,1,1,1,112
850,850,3,2,34,14
1612,1581,3,2,31,14
261,261,3,2,29,7
276,156,1,1,1,112
252,252,3,2,9,14
253,253,3,1,23,14
1302,1260,3,2,42,14
53,87,1,1,1,112
965,230,1,1,1,28
654,219,1,1,1,56
888,298,1,1,1,56
408,402,3,1,6,28
1376,1376,3,1,16,14
3960,3957,1,1,1,7
3969,3969,3,2,27,14
344,348,1,1,1,56
9,15,3,1,1,112
72,69,3,1,3,56
23,42,1,1,1,112
2,2,1,1,1,112
3595,3420,1,1,1,14
2232,2214,3,1,9,28
1750,1958,1,1,1,112
102,138,1,1,1,56
20,15,1,1,1,28
621,598,3,1,23,14
1836,1818,3,2,9,28
950,2370,1,1,1,7
1861,435,1,1,1,7
336,1058,1,1,1,14
166,349,1,1,1,28
3863,3734,1,1,1,56
352,790,1,1,1,56
3948,3948,3,1,42,14
124,160,1,1,1,7
122,145,1,1,1,7
2091,2050,3,1,41,7
1848,1827,3,1,7,56
75,72,3,2,3,56
69,112,1,2,1,56
296,392,1,2,2,56
837,837,3,1,27,14
1187,279,1,1,1,14
18,32,1,2,1,112
1160,1131,3,1,29,14
145,52,1,1,1,28
243,653,1,1,1,28
2070,412,1,1,1,7
1535,1177,1,1,1,7
168,161,3,2,7,28
25,37,3,1,1,112
32,82,1,1,1,7
140,132,3,2,2,112
189,232,1,1,1,112
2920,2880,3,1,40,14
3899,1045,1,1,1,14
18,79,1,1,1,7
3744,845,1,1,1,14
150,145,3,1,5,28
2226,2226,3,2,21,7
2802,2442,1,1,1,28
1048,1032,3,2,8,28
73,222,1,1,1,112
117,103,1,1,1,112
1260,1260,3,1,30,14
144,203,1,1,1,56
99,99,3,2,3,56
990,3411,1,1,1,28
2610,2610,3,1,29,7
3931,1313,1,1,1,14
332,1632,1,1,1,7
552,552,3,1,12,14
547,641,1,1,1,14
31,80,1,1,1,56
350,343,3,2,7,28
168,160,3,1,8,14
3339,3318,3,1,21,14
798,786,3,1,6,56
927,918,3,2,9,28
1376,328,1,1,1,14
273,131,1,1,1,56
1564,1541,3,1,23,14
43,66,1,2,1,56
2001,1978,3,2,23,7
1344,1332,1,1,1,7
1217,1125,1,1,1,7
1554,291,1,1,1,7
3372,3348,3,1,12,28
180,212,1,1,1,28
800,784,3,1,16,14
952,952,3,1,34,7
897,897,3,2,39,14
1610,1580,3,2,10,28
303,273,3,2,3,112
51,35,1,1,1,7
582,181,1,1,1,28
58,46,3,1,2,112
405,1645,1,1,1,28
2686,2494,1,1,1,7
421,134,1,1,1,14
353,2430,1,1,1,28
85,63,1,1,1,56
36,42,3,2,2,56
772,1149,1,1,1,28
36,40,3,1,2,28
136,194,1,2,1,112
1243,327,1,1,1,28
441,121,1,1,1,7
467,3238,1,1,1,7
76,73,1,1,1,112
67,49,1,1,1,14
2159,458,1,1,1,14
258,73,1,1,1,28
13,46,1,1,1,112
28,42,1,1,1,7
390,390,3,2,26,7
1258,300,1,1,1,14
52,68,3,2,2,56
2872,701,1,1,1,28
850,850,3,2,25,14
1175,1139,1,1,1,14
1872,1856,3,2,16,14
3144,3120,3,2,24,7
1944,1926,3,1,18,14
10,8,3,2,1,112
1288,1288,3,2,28,14
36,58,1,1,1,14
344,336,3,1,8,14
2356,481,1,1,1,7
242,242,3,1,22,14
3741,825,1,1,1,28
961,842,1,1,1,14
384,311,1,1,1,56
663,2957,1,1,1,7
392,106,1,1,1,14
3858,1132,1,1,1,7
68,198,1,1,1,14
455,455,3,1,35,14
1089,307,1,1,1,56
2010,384,1,1,1,7
778,193,1,1,1,14
42,34,1,1,1,56
1336,3524,1,1,4,14
210,200,3,1,10,14
50,99,1,1,1,112
656,2229,1,1,1,7
760,755,3,2,5,56
9,23,1,2,1,112
204,204,3,2,34,7
1029,1029,3,1,21,14
3597,1782,3,1,33,14
3503,3503,3,2,31,7
1254,1254,3,2,33,14
29,68,1,1,1,56
3024,2982,3,1,42,7
61,219,1,1,1,112
644,207,1,1,1,56
600,585,3,1,5,56
504,169,1,1,1,28
1611,396,1,1,1,56
282,429,1,2,3,14
3718,3724,1,1,1,14
1548,1524,3,1,6,56
2698,2660,3,1,38,14
1959,397,1,1,1,7
62,53,1,1,1,112
51,58,3,2,1,112
2,4,1,1,1,112
31,70,1,1,1,28
367,928,1,1,1,14
4,6,1,1,1,56
652,549,1,1,1,28
3130,824,1,1,1,56
3780,3750,3,1,30,7
1480,1440,3,2,40,14
336,328,3,2,4,56
187,115,1,1,1,112
3471,3471,3,2,39,7
713,690,3,1,23,14
293,1663,1,1,1,56
50,46,1,1,1,56
1680,1710,3,2,30,7
420,420,3,1,30,14
2698,2432,3,1,38,14
3567,3567,3,2,29,7
2366,2418,3,2,26,14
515,183,1,1,1,56
1731,1738,1,1,1,7
85,168,1,2,1,112
815,820,3,2,5,112
832,832,3,2,16,14
78,215,1,1,1,112
3340,623,1,1,1,14
79,59,1,1,1,112
1180,1110,1,1,1,14
135,223,1,2,1,56
679,2242,1,1,1,14
128,124,3,2,4,56
155,280,1,2,1,56
1325,1300,3,2,25,14
1840,1591,1,2,1,56
1475,1475,3,1,25,14
161,473,1,1,1,7
205,670,1,1,1,28
1585,412,1,1,1,14
1218,1056,3,1,1,112
188,508,1,1,1,28
519,158,1,1,1,14
68,263,1,1,1,56
1738,1716,3,1,11,14
3880,3880,3,2,40,7
109,201,1,1,1,112
12,38,1,1,1,112
490,471,1,1,1,56
2630,2487,1,1,1,28
936,936,3,1,26,14
3307,801,1,1,1,7
777,740,3,1,37,14
2993,2993,3,2,41,7
64,34,1,1,1,28
93,61,1,1,1,112
9,13,1,1,1,56
10,23,3,1,1,112
702,2010,1,1,1,14
936,924,3,1,6,56
132,132,3,2,6,28
4,10,1,1,1,112
352,352,3,2,32,7
1241,2103,1,1,1,14
243,278,1,1,1,56
333,197,1,1,1,28
3007,2981,1,1,1,7
46,46,3,2,1,112
160,144,3,1,16,7
81,81,3,2,9,14
2,4,1,1,1,112
12,27,1,1,1,112
1491,1335,1,1,1,28
28,24,3,2,2,112
871,964,1,1,1,7
128,128,3,2,8,14
54,60,3,2,2,56
1143,1081,1,1,1,56
345,345,3,2,23,7
1596,1554,3,1,42,7
843,234,1,1,1,28
32,98,1,2,1,112
2,2,1,1,1,112
451,410,3,1,41,7
13,45,1,1,1,56
232,767,1,1,1,7
710,2229,1,1,1,14
3754,3713,1,1,1,7
2277,2277,3,2,33,7
1099,3652,1,1,1,7
879,3385,1,1,1,14
2288,2272,3,2,16,14
792,768,3,2,6,56
112,112,3,1,2,56
1177,321,1,1,1,56
3,6,1,1,1,56
2336,2304,3,2,8,56
2898,3318,3,2,42,7
2072,1832,1,1,1,28
1159,1019,1,1,1,56
816,808,3,2,8,28
503,1771,1,1,1,14
408,358,3,2,2,112
238,97,1,1,1,28
61,38,1,1,1,112
155,379,1,1,1,112
319,111,1,1,1,14
1136,2212,1,2,2,28
42,99,1,1,1,28
21,20,1,1,1,28
1860,1580,3,1,10,28
1889,2742,1,1,1,56
188,696,1,1,1,112
117,219,1,2,1,56
932,935,1,1,1,56
320,312,3,1,8,28
848,3466,1,1,1,14
548,1739,1,1,1,56
305,295,3,2,5,56
760,715,1,1,1,56
2841,694,1,1,1,28
300,138,1,1,1,56
2280,2240,3,2,40,14
65,92,1,1,1,28
340,1031,1,1,1,14
50,131,1,2,1,112
369,369,3,2,41,7
24,29,3,1,1,112
2496,2457,3,1,39,14
2615,2605,1,1,1,7
99,193,1,1,1,112
692,680,3,1,4,112
59,143,1,1,1,28
2867,2742,1,1,1,14
1500,1500,3,2,10,28
1755,1716,3,1,39,14
728,211,1,1,1,56
23,20,3,1,1,112
321,205,1,1,1,7
5,8,1,1,1,7
2523,2480,1,1,1,7
3192,3239,1,1,1,28
241,211,1,1,1,14
342,342,3,2,18,14
420,405,3,2,5,56
772,932,3,1,2,112
1601,1442,1,1,1,28
2838,2816,3,2,11,28
594,137,1,1,1,14
2208,2200,3,2,8,56
1705,1700,3,1,5,112
629,629,3,1,37,14
572,440,1,1,11,7
1694,369,1,1,1,14
2550,2516,3,1,17,14
1652,1540,3,1,7,14
25,71,1,1,1,56
117,79,1,1,1,112
2299,486,1,1,1,7
1491,347,1,1,1,28
651,644,3,1,7,28
127,172,1,1,1,112
1152,3831,1,1,1,7
194,530,1,1,1,14
24,162,1,1,1,112
805,805,3,2,35,14
1715,2380,3,1,35,7
66,86,1,1,1,56
154,140,3,1,14,7
872,864,3,1,8,28
4,5,1,1,1,112
943,3362,1,1,1,7
3928,1197,1,1,1,28
3050,3050,3,2,25,7
1886,1845,3,1,41,7
369,360,3,1,9,14
1248,1248,3,1,13,14
3696,3654,3,1,42,7
399,653,1,1,1,56
1764,1746,3,1,18,14
1454,1219,1,1,1,7
1258,1216,1,1,1,14
910,910,3,2,35,14
3310,3132,1,1,1,28
52,46,1,1,1,28
3920,3339,3,1,7,14
238,224,3,2,14,14
3208,3228,1,1,2,14
3777,994,1,1,1,14
825,810,3,1,15,14
172,749,1,1,1,56
99,105,1,1,1,7
2328,2208,3,2,8,56
3360,3480,3,2,40,14
200,111,1,1,1,112
1375,1375,3,1,11,14
61,171,1,1,1,28
834,3814,1,1,1,14
477,2001,1,1,1,7
1906,1893,1,1,1,14
2312,2295,3,1,17,14
1299,1449,1,1,1,7
15,15,1,1,1,7
232,104,1,1,1,56
1365,1365,3,1,7,112
870,804,1,1,1,14
897,897,3,1,39,7
43,55,1,1,1,112
369,831,1,1,1,7
66,84,1,1,1,7
3937,3926,1,1,1,14
242,212,1,1,1,14
736,736,3,1,32,14
1428,1414,3,2,14,14
629,2294,1,1,1,28
2314,2367,1,1,1,7
244,352,1,2,2,56
3364,3364,3,2,29,7
1688,1632,3,2,8,28
89,207,1,2,1,112
1587,1390,1,1,1,28
425,425,3,1,17,14
1985,404,1,1,1,7
118,64,1,1,1,112
79,508,1,1,1,56
3967,3855,1,1,1,14
1053,277,1,1,1,28
510,532,1,1,1,28
798,798,3,1,19,14
100,181,1,2,1,112
3675,3675,3,1,35,7
222,417,1,1,1,56
1092,1053,3,1,39,14
89,239,1,1,1,28
126,126,3,2,14,14
306,306,3,1,34,7
259,88,1,1,1,7
100,100,3,1,25,7
30,42,1,2,1,112
476,448,3,1,28,14
140,56,1,1,1,7
37,117,1,1,1,112
3866,3885,1,1,1,14
363,306,3,2,3,112
13,30,1,2,1,112
792,774,3,1,9,28
1748,1748,3,1,19,14
3486,3444,3,2,42,14
867,918,3,2,3,112
22,20,3,2,2,112
36,50,1,1,1,7
36,59,1,1,1,56
1867,515,1,1,1,14
2888,2888,3,1,38,14
591,2646,1,1,1,7
156,79,1,1,1,56
1540,1505,3,2,35,14
635,630,3,2,5,56
553,515,1,1,1,14
3444,2706,3,1,41,14
2220,510,1,1,1,28
24,62,1,1,1,14
235,122,1,1,1,112
160,144,3,1,16,7
1183,1162,3,1,7,28
1600,1600,3,1,32,14
1073,1073,3,2,37,7
29,40,3,2,1,112
1249,1226,1,1,1,14
424,728,1,1,2,14
64,97,1,1,1,56
1461,3693,1,1,1,7
154,230,1,2,1,112
285,285,3,2,15,14
412,2015,1,1,1,28
3123,671,1,1,1,14
148,234,1,2,1,112
232,326,1,2,1,112
3,6,1,2,1,112
3777,3781,1,1,1,14
126,126,3,1,9,14
266,247,3,2,19,7
672,225,1,1,1,56
31,38,1,1,1,112
1827,1827,3,2,21,7
60,56,3,2,4,56
117,162,1,1,1,56
621,2384,1,1,1,14
102,150,1,2,1,112
840,800,3,1,40,14
3120,3096,3,1,24,7
644,644,3,1,14,14
234,86,1,1,1,14
57,63,3,1,3,28
728,243,1,1,1,56
183,201,3,2,3,56
870,892,1,2,2,28
3725,839,1,1,1,28
326,375,1,1,1,112
3291,668,1,1,1,28
2880,2880,3,1,36,14
1680,1680,3,1,30,14
110,110,3,2,22,7
1018,980,1,1,1,28
1077,804,1,1,1,56
744,2748,1,1,3,7
624,585,3,1,39,14
715,735,3,1,5,112
1305,3251,1,1,1,56
82,133,1,2,1,56
845,850,3,1,5,112
1186,288,1,1,1,14
3360,3360,3,1,42,7
3724,1786,3,1,19,14
632,1160,3,2,8,14
30,42,1,2,1,112
3934,2381,1,1,1,7
2277,2556,3,1,9,14
562,450,1,1,1,7
1664,1632,3,1,32,14
1292,1190,3,1,34,14
11,32,1,1,1,112
300,290,3,1,10,14
69,51,1,1,1,28
2288,490,1,1,1,14
805,828,3,2,23,7
2925,2835,3,2,9,56
157,68,1,1,1,28
2919,2898,3,1,21,14
1692,354,1,1,1,14
3485,3376,1,1,1,28
180,797,1,1,1,56
1176,1176,3,2,14,14
26,24,3,2,2,112
7,4,3,1,1,112
1173,513,3,1,3,28
459,459,3,1,17,14
130,155,1,2,1,112
76,47,1,1,1,112
570,570,3,1,19,14
1792,1764,3,1,7,56
33,44,1,1,1,14
74,68,1,1,1,112
1183,1162,3,1,7,56
7,13,1,1,1,112
3081,3042,3,1,39,14
1313,304,1,1,1,14
3631,3665,1,1,1,14
626,454,1,1,1,7
975,203,1,1,1,7
3318,3318,3,1,42,7
3220,3200,3,2,10,28
1004,2354,1,1,1,14
228,192,3,1,2,112
3608,3608,3,1,41,14
115,151,1,2,1,112
588,567,3,2,21,7
2349,2322,3,1,9,28
209,209,3,1,19,14
1714,1712,1,1,1,7
2737,2714,3,1,23,7
2268,2240,3,2,14,14
20,52,1,1,1,112
2565,2511,3,2,9,28
50,56,3,1,2,112
1707,1486,1,1,1,14
1529,1271,1,1,1,28
464,1505,1,1,1,14
987,835,1,1,1,7
438,426,3,2,3,112
2647,516,1,1,1,7
895,269,1,1,1,7
3248,3211,1,1,1,7
3037,2956,1,1,1,7
3950,1349,1,1,1,14
379,131,1,1,1,56
36,29,1,1,1,7
411,411,1,1,1,56
230,557,1,1,1,28
396,387,3,2,9,14
301,107,1,1,1,14
3,5,1,1,1,112
2167,2145,3,1,11,28
616,554,1,1,1,56
1404,1365,3,1,39,14
158,417,1,1,1,14
103,67,1,1,1,28
50,71,1,1,1,112
884,884,3,2,34,14
851,3235,1,1,1,7
828,792,3,1,36,14
1691,411,1,1,1,56
3410,852,1,1,1,7
1955,1955,3,1,23,7
4,13,1,1,1,112
2100,2100,3,2,35,14
435,435,3,2,15,14
3,10,3,1,1,112
38,152,1,1,1,56
2079,2046,3,1,33,14
591,198,1,1,1,56
280,444,1,2,4,14
56,64,3,1,2,56
48,90,1,2,1,112
1001,1910,1,1,1,28
130,125,3,2,5,28
120,76,1,1,1,112
180,170,3,1,5,56
182,212,3,2,2,56
188,184,3,1,4,56
122,150,1,1,1,56
45,74,1,2,1,112
1824,1800,3,2,12,14
2509,2470,3,1,13,28
899,870,3,1,29,14
358,365,1,1,1,28
136,262,1,2,1,56
800,850,3,1,5,112
1200,1200,3,2,40,7
1010,952,1,1,1,7
684,684,3,2,18,14
792,792,3,2,36,7
107,347,1,1,1,28
1792,1996,3,2,4,112
32,66,1,1,1,112
491,937,1,1,1,112
168,287,1,1,1,56
430,420,3,2,5,56
42,42,1,1,1,28
99,64,1,1,1,28
803,3217,1,1,1,7
640,3006,1,1,1,7
12,33,1,2,1,112
68,52,1,1,1,28
53,77,3,1,1,112
2758,3746,1,1,1,7
8,14,1,1,1,112
2688,2646,3,1,42,14
827,1011,1,1,1,28
664,632,3,1,4,112
60,60,3,1,5,14
28,38,3,2,2,14
1804,1763,3,1,41,7
2780,2719,1,1,1,14
1800,1800,3,2,36,14
8,12,3,1,1,112
690,690,3,2,30,14
122,47,1,1,1,7
11,19,3,1,1,112
427,428,1,1,1,14
893,874,3,1,19,14
724,860,1,1,1,28
84,81,3,1,3,56
462,462,3,2,21,14
53,61,3,1,1,56
87,87,3,2,29,7
845,832,3,2,13,14
1752,1848,3,2,6,112
676,2381,1,1,1,28
634,328,1,1,2,56
33,32,3,2,1,112
140,144,1,1,1,28
120,112,3,1,2,112
10,18,1,1,1,14
3725,3725,3,2,25,14
264,264,3,2,33,7
6,13,1,2,1,112
38,37,1,1,1,56
21,46,1,2,1,112
2414,2241,1,1,1,28
2800,2761,1,1,1,14
296,919,1,1,1,14
3590,3692,1,1,1,14
8,36,1,1,1,56
2904,553,1,1,1,28
9,9,3,1,1,112
2697,2697,3,1,29,7
2311,2247,1,1,1,7
32,38,3,1,2,28
1533,969,1,1,1,7
19,67,1,2,1,112
141,80,1,1,1,28
20,49,1,1,1,7
147,655,1,1,1,7
30,26,1,1,1,28
567,560,3,1,7,28
616,231,1,1,1,56
96,112,3,2,2,56
1339,1301,1,1,1,7
651,207,1,1,1,28
605,2607,1,1,1,28
27,62,1,1,1,112
76,84,1,1,1,7
34,63,1,1,1,112
83,60,1,1,1,56
955,467,1,1,1,112
992,992,3,1,32,14
1452,1441,3,1,11,14
24,63,1,1,1,112
16,37,1,1,1,112
2800,2800,3,2,40,7
3738,3738,3,2,42,14
766,2901,1,1,1,7
7,19,1,1,1,112
189,189,3,2,21,7
960,960,3,2,40,14
1122,1122,3,2,33,14
100,120,1,1,1,56
2401,2338,3,2,7,56
16,22,1,1,1,56
1560,1313,1,1,1,14
761,2122,1,1,1,56
335,325,3,1,5,56
1326,1313,3,1,13,14
490,485,3,1,5,56
117,117,3,2,13,14
3821,918,1,1,1,14
1053,1053,3,2,27,14
47,153,1,1,1,56
72,338,1,1,1,56
120,115,3,2,5,28
44,44,3,1,2,56
2544,2520,3,1,12,14
1369,1369,3,2,37,14
240,240,3,2,16,14
650,2680,1,1,1,14
1195,1186,1,1,1,7
192,188,3,1,4,56
1339,1151,1,1,1,7
1890,2415,3,2,35,14
2352,447,1,1,1,7
920,880,3,1,40,7
209,1155,1,1,1,14
920,1040,3,2,40,14
654,2668,1,1,1,7
252,216,3,1,36,7
1485,1431,1,1,1,14
840,952,3,2,14,14
12,23,1,1,1,28
925,925,3,2,37,14
1549,317,1,1,1,7
11,22,3,1,1,112
3968,2394,1,1,1,7
452,480,3,2,4,112
543,3307,1,1,1,7
72,66,3,2,6,14
22,59,1,1,1,7
224,196,3,1,28,7
3116,3075,3,1,41,14
3936,3936,3,2,41,7
75,27,1,1,1,7
944,830,1,1,1,28
3758,3739,1,1,1,14
4,22,1,1,1,112
665,665,3,1,19,14
55,32,1,1,1,14
2268,2241,3,1,27,7
175,632,1,1,1,7
3756,905,1,1,1,14
3109,2968,1,1,1,7
935,915,3,1,5,56
2084,2073,1,1,1,7
1640,1620,3,1,20,14
2705,596,1,1,1,56
810,3677,1,1,1,28
47,38,1,1,1,112
2066,2301,1,1,1,7
1379,1351,3,2,7,28
501,449,1,1,1,14
213,201,3,2,3,112
2597,534,1,1,1,56
129,177,1,1,1,56
210,213,3,2,3,28
2496,2457,3,1,39,14
3966,1726,1,1,1,28
346,136,1,1,1,56
2685,2670,3,1,15,14
1207,3576,1,1,1,28
506,167,1,1,1,56
700,695,3,2,5,56
56,48,1,1,1,56
3047,3014,1,1,1,14
1960,395,1,1,1,7
55,53,1,1,1,112
3,13,1,1,1,56
3265,1007,1,1,1,28
192,184,3,2,4,56
38,40,3,1,2,28
35,93,1,1,1,7
1101,1047,1,1,1,56
42,55,1,1,1,14
100,125,1,1,1,14
126,126,3,2,9,14
180,204,1,1,1,28
405,405,3,1,27,14
3040,3000,3,1,40,14
156,156,3,2,2,112
28,56,1,1,1,56
230,230,3,2,10,14
45,42,3,1,3,112
265,260,3,2,5,56
465,2318,1,1,1,14
126,120,3,1,3,56
660,660,3,2,15,14
448,432,3,1,16,14
129,234,1,1,1,28
109,70,1,1,1,56
1599,1558,3,2,41,14
32,86,1,2,1,112
1482,1482,3,2,19,14
453,291,1,1,1,7
24,27,1,1,1,56
2160,2120,3,2,40,14
3948,3948,3,1,42,7
767,767,3,1,13,14
80,76,3,2,2,112
622,2601,1,1,1,14
336,1144,1,1,2,7
330,330,3,2,10,14
413,471,1,1,1,14
251,1262,1,1,1,56
1786,1549,1,1,1,28
59,59,3,1,1,112
2507,2547,1,1,1,7
241,117,1,1,1,56
2,3,1,1,1,112
5,11,1,1,1,112
201,793,1,1,1,28
2827,2618,1,1,1,14
404,444,1,2,4,28
88,72,3,1,1,112
3289,3289,3,2,23,7
780,192,1,1,1,56
754,754,3,2,26,7
1172,1108,1,1,1,28
146,270,1,1,1,112
38,78,1,1,1,28
1467,1224,1,1,1,14
2019,2195,1,1,1,7
133,475,1,1,1,56
960,1680,3,1,40,7
66,66,3,2,3,56
1922,2048,1,1,1,7
3722,3748,1,1,1,28
53,63,1,1,1,112
2668,2668,3,2,29,7
427,156,1,1,1,28
3042,3020,1,1,1,28
3075,3034,3,2,41,7
138,271,1,1,1,112
48,48,3,2,2,112
1326,1560,3,2,39,14
3341,3220,1,1,1,7
84,88,3,1,4,28
1470,1435,3,1,35,14
1285,2765,1,1,1,7
369,2015,1,1,1,28
39,99,1,2,1,112
1010,263,1,1,1,28
2490,2460,3,2,15,14
628,548,1,1,1,14
546,2235,1,1,1,7
3906,3948,3,1,42,14
718,218,1,1,1,28
1600,1600,3,1,20,7
20,43,3,2,1,112
312,302,1,1,1,28
2592,2527,1,1,1,14
1935,460,1,1,1,28
1917,1917,3,1,27,14
3,7,3,1,1,112
710,252,1,1,1,56
6,23,1,1,1,56
1170,1131,3,1,13,14
308,222,1,1,1,112
23,21,3,2,1,112
3376,3274,1,1,1,14
9,24,1,1,1,56
126,117,3,2,9,14
54,52,3,2,2,112
2730,2646,3,1,42,7
2070,2337,1,1,3,7
193,69,1,1,1,7
313,1291,1,1,1,7
1848,1872,3,2,24,7
730,701,1,1,1,7
400,390,3,1,5,56
12,18,1,1,1,7
228,204,1,1,2,56
1449,1431,3,1,9,28
497,413,1,1,1,14
1601,1405,1,1,1,28
366,390,1,1,3,28
590,531,1,1,1,28
1008,1008,3,1,12,14
2713,622,1,1,1,14
60,51,1,1,1,56
178,301,1,2,1,56
299,334,1,1,1,7
2804,612,1,1,1,7
1817,943,3,1,23,14
1753,3929,1,1,1,7
88,139,1,1,1,56
515,550,1,1,1,7
12,17,3,1,1,112
396,387,3,2,9,14
15,31,1,1,1,7
172,603,1,1,1,7
41,73,1,1,1,112
80,62,3,1,2,56
3948,3948,3,2,42,7
930,960,3,2,5,112
182,185,1,1,1,14
3003,3003,3,1,39,14
2992,2992,3,1,22,14
2009,2009,3,2,41,7
224,224,3,2,32,7
3500,3500,3,1,35,7
160,156,3,1,4,28
678,573,1,1,1,14
606,1103,1,1,1,14
598,3456,1,1,1,7
413,413,3,2,7,28
38,44,3,2,1,112
51,40,1,1,1,14
2520,2502,3,2,18,14
29,43,1,1,1,14
191,505,1,1,1,28
104,104,3,1,2,112
777,777,3,1,37,14
748,748,3,1,34,14
1701,394,1,1,1,14
304,338,1,2,2,56
2250,2220,3,1,30,7
1739,395,1,1,1,14
3420,3382,3,1,38,14
3008,3008,3,2,32,7
1645,1610,3,1,35,14
1407,279,1,1,1,7
160,447,1,1,1,112
1080,1080,3,2,20,14
49,34,1,1,1,7
658,3180,1,1,1,28
1736,397,1,1,1,14
1472,363,1,1,1,56
2624,2583,3,1,41,7
503,191,1,1,1,56
152,114,3,2,38,7
117,247,1,2,1,56
1944,1932,3,1,12,14
264,1332,1,1,1,28
920,920,3,1,23,14
141,206,1,1,1,56
996,972,3,1,6,56
1377,435,1,1,1,56
56,54,3,1,1,112
1562,377,1,1,1,28
1060,1040,3,1,20,14
3944,3944,3,2,34,7
1793,377,1,1,1,7
3960,3960,3,2,40,7
119,134,1,2,1,112
893,826,1,1,1,7
61,77,1,1,1,14
8,38,1,2,1,112
2007,2053,1,1,1,7
1799,426,1,1,1,28
19,29,1,1,1,7
72,68,3,2,4,28
3643,749,1,1,1,14
1937,1924,3,2,13,14
3009,693,1,1,1,14
94,218,1,2,1,56
8,16,1,1,1,112
1126,1041,1,1,1,28
2181,2180,1,1,1,7
2220,497,1,1,1,14
544,528,3,1,16,14
77,231,1,1,1,7
3567,3601,1,1,1,14
1698,1674,3,2,6,56
2080,2080,3,2,32,7
56,141,1,1,1,14
2088,2076,3,2,12,14
351,423,1,2,3,56
22,30,1,1,1,112
2178,2859,1,1,1,7
66,35,1,1,1,56
850,850,3,1,17,14
2055,1965,3,1,15,14
261,604,1,1,1,28
1184,1184,3,2,37,14
2091,2091,3,2,17,14
2679,2622,3,2,19,14
100,159,1,2,1,112
1920,2280,3,2,40,7
2886,2873,3,2,13,14
1582,312,1,1,1,7
60,60,3,2,15,7
1318,1434,1,1,1,7
3360,3360,3,2,30,7
1143,3831,1,1,1,28
2130,498,1,1,1,28
2938,2938,3,2,26,7
2781,2754,3,2,27,7
558,558,3,2,9,14
2465,568,1,1,1,28
23,25,1,1,1,28
784,931,1,1,7,14
21,50,1,2,1,112
756,720,3,1,36,14
1919,1738,1,1,1,14
3040,3040,3,2,32,7
82,67,1,1,1,112
20,49,1,1,1,56
860,840,3,2,20,14
336,336,3,2,24,14
206,513,1,1,1,14
845,830,3,1,5,56
721,406,1,1,1,14
525,505,3,2,5,112
594,2357,1,1,1,14
3941,2515,1,1,1,14
1230,1230,3,2,10,28
60,56,3,2,2,112
1770,1755,3,2,15,14
437,2069,1,1,1,7
3,9,1,1,1,112
551,1009,1,1,1,7
1242,1242,3,2,23,14
87,84,3,1,3,56
1918,1876,3,2,14,14
2829,2788,3,2,41,7
30,30,3,2,3,28
474,304,1,1,1,14
120,114,3,1,6,28
156,156,3,2,26,7
1708,1631,3,1,7,56
3280,3239,3,2,41,14
204,248,1,1,1,112
3968,3666,1,1,1,14
1140,1140,3,2,38,14
1112,269,1,1,1,14
252,336,1,2,2,56
23,34,1,1,1,7
140,146,1,1,1,28
1764,1680,3,1,42,7
1596,1649,1,1,1,112
440,1309,1,1,1,28
394,1187,1,1,1,28
981,3605,1,1,1,7
387,1483,1,1,1,28
3192,3150,3,1,42,7
104,195,1,2,1,112
1209,1170,3,2,39,14
99,88,3,1,11,14
588,576,3,1,12,14
1265,1242,3,1,23,14
805,790,3,1,5,56
1012,1144,3,2,22,14
286,286,3,2,26,7
3853,970,1,1,1,14
1826,1804,3,2,22,14
2288,2266,3,1,11,28
1612,1586,3,2,26,14
1955,1955,3,1,23,7
23,33,1,1,1,112
18,22,3,1,1,28
2112,2112,3,2,22,7
126,123,3,1,3,56
330,455,1,2,5,14
235,261,1,2,1,112
136,205,1,2,1,56
552,552,3,1,23,14
69,72,3,2,3,14
2750,2728,3,1,22,7
187,187,3,2,11,14
55,134,1,1,1,112
2509,2305,1,1,1,14
733,195,1,1,1,28
777,2865,1,1,1,14
